日付,店番,受領フラグ,受領時間,ドライバー名,完了時間,納品予定数,納品数,不足数
2021/09/10,GU_586,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_592,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_597,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_602,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_616,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_618,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_624,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_64,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_658,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_671,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_678,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_682,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_713,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_82,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_84,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_846,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_858,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_86,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_875,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
2021/09/10,GU_900,0,0000-00-00 00:00:00,,0000-00-00 00:00:00,0,0,0
